path: /Users/andreasimioni/Desktop/parallelComputing/mid_term_BIGRAMS_TRIGRAMS/TextBigrams-Trigrams/Java/sample/text50KB.txt
key: voe , value: 18
key: rga , value: 6
key: aes , value: 6
key: vol , value: 24
key: von , value: 6
key: iva , value: 61
key: vom , value: 18
key: vop , value: 7
key: rgl , value: 18
key: voo , value: 6
key: vor , value: 12
key: ive , value: 49
key: voq , value: 6
key: ena , value: 6
key: end , value: 42
key: vos , value: 55
key: enc , value: 6
key: rgo , value: 6
key: afa , value: 25
key: ene , value: 48
key: ivi , value: 24
key: aff , value: 6
key: rcò , value: 6
key: eni , value: 6
key: ix2 , value: 7
key: ivo , value: 112
key: enn , value: 43
key: afi , value: 54
key: eno , value: 68
key: 84c , value: 7
key: ent , value: 229
key: rha , value: 18
key: x2d , value: 7
key: ens , value: 74
key: afo , value: 48
key: enz , value: 79
key: afu , value: 6
key: rìl , value: 6
key: òdi , value: 6
key: eob , value: 6
key: age , value: 18
key: agg , value: 78
key: agi , value: 6
key: agl , value: 36
key: eop , value: 24
key: eos , value: 13
key: ago , value: 6
key: agn , value: 12
key: rib , value: 6
key: eou , value: 6
key: ria , value: 12
key: rid , value: 18
key: ric , value: 19
key: agr , value: 12
key: rie , value: 49
key: naa , value: 6
key: nad , value: 18
key: rig , value: 19
key: nac , value: 6
key: ril , value: 37
key: ità , value: 48
key: ixc , value: 7
key: nag , value: 6
key: rin , value: 36
key: rim , value: 49
key: epa , value: 24
key: ixe , value: 6
key: nal , value: 67
key: rip , value: 30
key: epd , value: 6
key: rio , value: 27
key: epc , value: 6
key: nan , value: 12
key: epe , value: 55
key: nam , value: 6
key: rit , value: 43
key: nap , value: 12
key: ris , value: 45
key: nar , value: 44
key: riv , value: 31
key: epi , value: 24
key: nat , value: 68
key: zza , value: 55
key: nav , value: 12
key: nau , value: 6
key: epo , value: 24
key: ixs , value: 6
key: 86d , value: 6
key: epr , value: 30
key: naz , value: 6
key: vre , value: 24
key: eps , value: 6
key: epu , value: 19
key: zzo , value: 6
key: nbe , value: 6
key: 407 , value: 6
key: aim , value: 6
key: ail , value: 18
key: ain , value: 24
key: equ , value: 30
key: aip , value: 12
key: aiu , value: 6
key: x1è , value: 7
key: nce , value: 12
key: nch , value: 37
key: era , value: 180
key: nci , value: 54
key: erd , value: 6
key: ncl , value: 6
key: erc , value: 31
key: erf , value: 19
key: ere , value: 67
key: izi , value: 18
key: ncp , value: 7
key: ne1 , value: 7
key: nco , value: 24
key: erg , value: 18
key: ncr , value: 6
key: eri , value: 96
key: erl , value: 25
key: ern , value: 36
key: erm , value: 37
key: ncu , value: 6
key: erp , value: 6
key: ero , value: 60
key: err , value: 6
key: 6ve , value: 6
key: ert , value: 25
key: rla , value: 12
key: ers , value: 81
key: al1 , value: 7
key: izz , value: 55
key: erv , value: 18
key: al4 , value: 6
key: eru , value: 12
key: nda , value: 37
key: rld , value: 6
key: al5 , value: 6
key: ndc , value: 6
key: al8 , value: 6
key: nde , value: 12
key: ndi , value: 49
key: rlo , value: 13
key: esc , value: 6
key: ese , value: 61
key: ndo , value: 102
key: nès , value: 6
key: esi , value: 18
key: eso , value: 50
key: ndv , value: 6
key: esp , value: 6
key: ess , value: 72
key: esu , value: 18
key: rma , value: 55
key: est , value: 85
key: neb , value: 6
key: rme , value: 12
key: nea , value: 18
key: ned , value: 96
key: nec , value: 7
key: rmi , value: 6
key: nee , value: 6
key: riè , value: 12
key: eta , value: 44
key: nei , value: 12
key: nel , value: 98
key: rmo , value: 12
key: nen , value: 12
key: nem , value: 30
key: ala , value: 48
key: ete , value: 6
key: ixè , value: 7
key: ald , value: 6
key: nep , value: 6
key: alc , value: 30
key: neo , value: 12
key: ner , value: 25
key: ale , value: 48
key: net , value: 12
key: epè , value: 6
key: neu , value: 19
key: ali , value: 98
key: all , value: 91
key: nex , value: 36
key: alk , value: 6
key: eto , value: 6
key: aln , value: 6
key: etr , value: 12
key: alm , value: 6
key: ett , value: 110
key: rna , value: 24
key: alp , value: 12
key: alt , value: 79
key: vvi , value: 6
key: rne , value: 18
key: nfa , value: 18
key: als , value: 6
key: nfe , value: 18
key: rni , value: 6
key: rno , value: 12
key: ama , value: 73
key: nfo , value: 6
key: amb , value: 18
key: ame , value: 68
key: ami , value: 13
key: eun , value: 67
key: amm , value: 42
key: amo , value: 18
key: eut , value: 13
key: amp , value: 6
key: roa , value: 12
key: rod , value: 24
key: roc , value: 18
key: amu , value: 6
key: nga , value: 6
key: ngc , value: 6
key: rog , value: 78
key: ngf , value: 6
key: roi , value: 12
key: nge , value: 6
key: ron , value: 36
key: eva , value: 42
key: ngi , value: 6
key: rop , value: 19
key: ngl , value: 6
key: ror , value: 12
key: eve , value: 49
key: ana , value: 6
key: and , value: 97
key: anc , value: 30
key: ros , value: 24
key: rov , value: 6
key: ane , value: 12
key: evi , value: 6
key: ani , value: 24
key: ngu , value: 30
key: erì , value: 6
key: anl , value: 6
key: evo , value: 12
key: ann , value: 54
key: c20 , value: 6
key: rpa , value: 18
key: ano , value: 72
key: òla , value: 6
key: rpc , value: 6
key: ant , value: 91
key: anu , value: 30
key: anz , value: 6
key: rpo , value: 6
key: aog , value: 12
key: aop , value: 100
key: aor , value: 6
key: nib , value: 12
key: nia , value: 18
key: aot , value: 6
key: nid , value: 12
key: nic , value: 24
key: nie , value: 6
key: nii , value: 6
key: età , value: 12
key: nil , value: 6
key: neè , value: 6
key: nin , value: 30
key: nim , value: 6
key: apa , value: 6
key: nip , value: 19
key: ape , value: 30
key: nit , value: 18
key: nis , value: 12
key: api , value: 54
key: nix , value: 20
key: niz , value: 12
key: jav , value: 12
key: app , value: 141
key: ext , value: 36
key: rra , value: 6
key: apo , value: 12
key: apr , value: 30
key: nja , value: 6
key: aps , value: 18
key: rri , value: 6
key: 001 , value: 13
key: rsa , value: 7
key: rsc , value: 6
key: aqu , value: 24
key: rse , value: 6
key: rsi , value: 56
key: rso , value: 18
key: 010 , value: 6
key: arb , value: 6
key: 011 , value: 6
key: ara , value: 37
key: ard , value: 19
key: arc , value: 19
key: 014 , value: 6
key: arf , value: 6
key: 015 , value: 6
key: are , value: 158
key: 016 , value: 6
key: arh , value: 6
key: arg , value: 6
key: ari , value: 62
key: rsy , value: 6
key: arn , value: 6
key: rta , value: 18
key: aro , value: 18
key: arr , value: 6
key: nla , value: 13
key: art , value: 36
key: rte , value: 18
key: 00c , value: 7
key: ezz , value: 6
key: rti , value: 31
key: arw , value: 19
key: nli , value: 6
key: rto , value: 12
key: asa , value: 31
key: nlo , value: 13
key: asc , value: 37
key: ase , value: 30
key: rtu , value: 6
key: asf , value: 6
key: asi , value: 24
key: ask , value: 6
key: rtz , value: 6
key: aso , value: 12
key: asp , value: 6
key: ass , value: 24
key: asu , value: 12
key: 01c , value: 6
key: ast , value: 24
key: jec , value: 6
key: run , value: 6
key: nmi , value: 6
key: rum , value: 6
key: 01p , value: 7
key: ata , value: 96
key: rut , value: 12
key: no2 , value: 12
key: nmo , value: 12
key: ate , value: 78
key: ati , value: 215
key: ato , value: 273
key: atr , value: 24
key: att , value: 92
key: atu , value: 6
key: nne , value: 49
key: rvi , value: 18
key: 7ap , value: 6
key: nni , value: 18
key: nno , value: 6
key: nnu , value: 42
key: aum , value: 6
key: aun , value: 30
key: aut , value: 13
key: noa , value: 31
key: nod , value: 24
key: noc , value: 18
key: rwi , value: 19
key: noe , value: 12
key: noi , value: 6
key: nol , value: 67
key: non , value: 43
key: nom , value: 55
key: ava , value: 66
key: nop , value: 13
key: nor , value: 6
key: ave , value: 74
key: not , value: 14
key: nos , value: 37
key: nov , value: 24
key: avi , value: 12
key: nou , value: 12
key: now , value: 6
key: avo , value: 18
key: avr , value: 24
key: npa , value: 12
key: avv , value: 6
key: npi , value: 6
key: war , value: 25
key: npr , value: 6
key: aww , value: 18
key: fac , value: 7
key: 075 , value: 7
key: fal , value: 18
